PY,AU,TI,SO,VL,IS,DI,Z9,citesPerYear
2010,"Bond, Jason C.; Roberts, Sarah C. M.; Greenfield, Thomas K.; Korcha, Rachael; Ye, Yu; Nayak, Madhabika B.",Gender Differences in Public and Private Drinking Contexts: A Multi-Level GENACIS Analysis,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,7,5,10.3390/ijerph7052136,42,3.8181818181818183
2010,"Yoo, Seung-Hoon; Lee, Joo-Suk",Electricity consumption and economic growth: A cross-country analysis,ENERGY POLICY,38,1,10.1016/j.enpol.2009.05.076,42,3.8181818181818183
1994,"BRANDER, JA; DOWRICK, S",THE ROLE OF FERTILITY AND POPULATION IN ECONOMIC-GROWTH - EMPIRICAL RESULTS FROM AGGREGATE CROSS-NATIONAL DATA,JOURNAL OF POPULATION ECONOMICS,7,1,10.1007/BF00160435,103,3.814814814814815
2012,"Castello-Climent, Amparo; Hidalgo-Cabrillana, Ana",The role of educational quality and quantity in the process of economic development,ECONOMICS OF EDUCATION REVIEW,31,4,10.1016/j.econedurev.2011.11.004,34,3.7777777777777777
2017,"Ben Ali, Mohamed Sami; Gasmi, Amira",Does ICT diffusion matter for corruption? An Economic Development Perspective,TELEMATICS AND INFORMATICS,34,8,10.1016/j.tele.2017.06.008,15,3.75
2017,"Botoc, Claudiu; Anton, Sorin Gabriel",IS PROFITABILITY DRIVEN BY WORKING CAPITAL MANAGEMENT? EVIDENCE FOR HIGH-GROWTH FIRMS FROM EMERGING EUROPE,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,18,6,10.3846/16111699.2017.1402362,15,3.75
2006,"Kanazawa, Satoshi",Mind the gap . . . - in intelligence: Re-examining the relationship between inequality and health,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,11,NA,10.1348/135910705X69842,56,3.7333333333333334
2003,"Allotey, P; Reidpath, D; Kouame, A; Cummins, R","The DALY, context and the determinants of the severity of disease: an exploratory comparison of paraplegia in Australia and Cameroon",SOCIAL SCIENCE & MEDICINE,57,5,10.1016/S0277-9536(02)00463-X,66,3.6666666666666665
2009,"Heckelman, Jac C.; Knack, Stephen","AID, ECONOMIC FREEDOM, AND GROWTH",CONTEMPORARY ECONOMIC POLICY,27,1,10.1111/j.1465-7287.2008.00123.x,44,3.6666666666666665
2018,"Zhu, Bing; Habisch, Andre; Thogersen, John",THE IMPORTANCE OF CULTURAL VALUES AND TRUST FOR INNOVATION - A EUROPEAN STUDY,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,22,2,10.1142/S1363919618500172,11,3.6666666666666665
2018,"Tuttle, James","Specifying the Effect of Social Welfare Expenditures on Homicide and Suicide: A Cross-National, Longitudinal Examination of the Stream Analogy of Lethal Violence",JUSTICE QUARTERLY,35,1,10.1080/07418825.2017.1293711,11,3.6666666666666665
2010,"Fernandez, Kenneth E.; Kuenzi, Michele",Crime and Support for Democracy in Africa and Latin America,POLITICAL STUDIES,58,3,10.1111/j.1467-9248.2009.00802.x,40,3.6363636363636362
2013,"van Praag, Mirjam; van Stel, Andre","The more business owners, the merrier? The role of tertiary education",SMALL BUSINESS ECONOMICS,41,2,10.1007/s11187-012-9436-x,29,3.625
2011,"Boytsun, Andriy; Deloof, Marc; Matthyssens, Paul","Social Norms, Social Cohesion, and Corporate Governance",CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,19,1,10.1111/j.1467-8683.2010.00829.x,36,3.6
2016,"Chon, Don Soo",A Spurious Relationship of Gender Equality With Female Homicide Victimization: A Cross-National Analysis,CRIME & DELINQUENCY,62,3,10.1177/0011128713492497,18,3.6
2009,"Peng, Yu-Shu; Lin, Shing-Shiuan","National Culture, Economic Development, Population Growth and Environmental Performance: The Mediating Role of Education",JOURNAL OF BUSINESS ETHICS,90,2,10.1007/s10551-009-0036-x,43,3.5833333333333335
2015,"Charoensukmongkol, Peerayuth",Cultural intelligence of entrepreneurs and international network ties The case of small and medium manufacturing firms in Thailand,MANAGEMENT RESEARCH REVIEW,38,4,10.1108/MRR-09-2013-0214,21,3.5
2017,"Tselios, Vassilis; Tompkins, Emma","Local government, political decentralisation and resilience to natural hazard-associated disasters",ENVIRONMENTAL HAZARDS-HUMAN AND POLICY DIMENSIONS,16,3,10.1080/17477891.2016.1277967,14,3.5
2004,"Shandra, JM; London, B; Whooley, OP; Williamson, JB","International nongovernmental organizations and carbon dioxide emissions in the developing world. A quantitative, cross-national analysis",SOCIOLOGICAL INQUIRY,74,4,10.1111/j.1475-682X.2004.00103.x,59,3.4705882352941178
2006,"Andonova, V","Mobile phones, the Internet and the institutional environment",TELECOMMUNICATIONS POLICY,30,1,10.1016/j.telpol.2005.06.015,52,3.466666666666667
1993,"GIRARD, C","AGE, GENDER, AND SUICIDE - A CROSS-NATIONAL ANALYSIS",AMERICAN SOCIOLOGICAL REVIEW,58,4,10.2307/2096076,97,3.4642857142857144
2001,"Shen, C; Williamson, JB","Accounting for cross-national differences in infant mortality decline (1965-1991) among less developed countries: Effects of women's status, economic dependency, and state strength",SOCIAL INDICATORS RESEARCH,53,3,10.1023/A:1007190612314,69,3.45
2012,"Bentzen, Jeanet Sinding",How Bad is Corruption? Cross-country Evidence of the Impact of Corruption on Economic Prosperity,REVIEW OF DEVELOPMENT ECONOMICS,16,1,10.1111/j.1467-9361.2011.00653.x,31,3.4444444444444446
2011,"Barber, Nigel",A Cross-National Test of the Uncertainty Hypothesis of Religious Belief,CROSS-CULTURAL RESEARCH,45,3,10.1177/1069397111402465,34,3.4
2016,"Bouquet, Cyril; Birkinshaw, Julian; Barsoux, Jean-Louis","Fighting the ""Headquarters Knows Best"" Syndrome",MIT SLOAN MANAGEMENT REVIEW,57,2,NA,17,3.4
2013,"Haller, Max; Hadler, Markus; Kaup, Gerd",Leisure Time in Modern Societies: A New Source of Boredom and Stress?,SOCIAL INDICATORS RESEARCH,111,2,10.1007/s11205-012-0023-y,27,3.375
2009,"Newson, Lesley; Richerson, Peter J.",Why Do People Become Modern ? A Darwinian Explanation,POPULATION AND DEVELOPMENT REVIEW,35,1,10.1111/j.1728-4457.2009.00263.x,40,3.3333333333333335
2012,"Knight, Kyle W.; Rosa, Eugene A.",Household dynamics and fuelwood consumption in developing countries: a cross-national analysis,POPULATION AND ENVIRONMENT,33,4,10.1007/s11111-011-0151-3,30,3.3333333333333335
2018,"Usmani, Adaner",Democracy and the Class Struggle,AMERICAN JOURNAL OF SOCIOLOGY,124,3,10.1086/700235,10,3.3333333333333335
2018,"Ang, James B.; Fredriksson, Per G.; bin Nurhakim, Aqil Luqman; Tay, Emerlyn Huiwen","Sunlight, Disease, and Institutions",KYKLOS,71,3,10.1111/kykl.12174,10,3.3333333333333335
2011,"Hayward, R. David; Kemmelmeier, Markus","Weber Revisited: A Cross-National Analysis of Religiosity, Religious Culture, and Economic Attitudes",JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,42,8,10.1177/0022022111412527,33,3.3
2005,"Heaton, TB; Forste, R; Hoffmann, JP; Flake, D",Cross-national variation in family influences on child health,SOCIAL SCIENCE & MEDICINE,60,1,10.1016/j.socscimed.2004.04.029,52,3.25
2010,"Skevington, Suzanne M.","Qualities of life, educational level and human development: an international investigation of health",SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,45,10,10.1007/s00127-009-0138-x,35,3.1818181818181817
2010,"Sandell, Klas; Fredman, Peter",The Right of Public Access - Opportunity or Obstacle for Nature Tourism in Sweden?,SCANDINAVIAN JOURNAL OF HOSPITALITY AND TOURISM,10,3,10.1080/15022250.2010.502366,35,3.1818181818181817
2015,"Arikan, Gizem; Bloom, Pazit Ben-Nun",Social Values and Cross-National Differences in Attitudes towards Welfare,POLITICAL STUDIES,63,2,10.1111/1467-9248.12100,19,3.1666666666666665
2015,"Gershman, Boris",The economic origins of the evil eye belief,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,110,NA,10.1016/j.jebo.2014.12.002,19,3.1666666666666665
2014,"Elgin, Ceyhun; Oztunali, Oguz","Institutions, Informal Economy, and Economic Development",EMERGING MARKETS FINANCE AND TRADE,50,4,10.2753/REE1540-496X500409,22,3.142857142857143
2004,"Schofer, E","Cross-national differences in the expansion of science, 1970-1990",SOCIAL FORCES,83,1,10.1353/sof.2004.0125,51,3
2004,"Van Deth, JW; Elff, M","Politicisation, economic development and political interest in Europe",EUROPEAN JOURNAL OF POLITICAL RESEARCH,43,3,10.1111/j.1475-6765.2004.00162.x,51,3
2004,"Bohara, AK; Mitchell, NJ; Mittendorff, CF",Compound democracy and the control of corruption: A cross-country investigation,POLICY STUDIES JOURNAL,32,4,10.1111/j.1541-0072.2004.00077.x,51,3
2007,"Wallner, Astrid; Bauer, Nicole; Hunziker, Marcel",Perceptions and evaluations of biosphere reserves by local residents in Switzerland and Ukraine,LANDSCAPE AND URBAN PLANNING,83,44257,10.1016/j.landurbplan.2007.03.006,42,3
2009,"Jorgenson, Andrew K.","Political-Economic Integration, Industrial Pollution and Human Health A Panel Study of Less-Developed Countries, 1980-2000",INTERNATIONAL SOCIOLOGY,24,1,10.1177/0268580908099156,36,3
2012,"Nissan, Edward; Castano, Maria-Soledad; Carrasco, Inmaculada",Drivers of non-profit activity: a cross-country analysis,SMALL BUSINESS ECONOMICS,38,3,10.1007/s11187-010-9276-5,27,3
2013,"Morgan, Jana; Kelly, Nathan J.",Market Inequality and Redistribution in Latin America and the Caribbean,JOURNAL OF POLITICS,75,3,10.1017/S0022381613000509,24,3
2015,"Bolumole, Yemisi A.; Closs, David J.; Rodammer, Frederick A.",The Economic Development Role of Regional Logistics Hubs: A Cross-Country Study of Interorganizational Governance Models,JOURNAL OF BUSINESS LOGISTICS,36,2,10.1111/jbl.12088,18,3
2016,"McClanahan, T. R.; Rankin, P. S.","Geography of conservation spending, biodiversity, and culture",CONSERVATION BIOLOGY,30,5,10.1111/cobi.12720,15,3
2017,"Mayer, Adam",Democratic institutions and the energy intensity of well-being: a cross-national study,ENERGY SUSTAINABILITY AND SOCIETY,7,NA,10.1186/s13705-017-0139-7,12,3
2017,"Takahashi, Bruno; Tandoc, Edson C., Jr.; Duan, Ran; Van Witsen, Anthony",Revisiting Environmental Citizenship: The Role of Information Capital and Media Use,ENVIRONMENT AND BEHAVIOR,49,2,10.1177/0013916515620892,12,3
2018,"Higashijima, Masaaki; Houle, Christian",Ethnic Inequality and the Strength of Ethnic Identities in Sub-Saharan Africa,POLITICAL BEHAVIOR,40,4,10.1007/s11109-017-9430-8,9,3
2018,"Sanderson, Matthew R.",Everything flows ... unevenly: social stratification in coupled socio-ecological systems,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,33,NA,10.1016/j.cosust.2018.04.012,9,3
2018,"Schoeneck, Nadine M.","Europeans' work and life - out of balance? An empirical test of assumptions from the ""acceleration debate""",TIME & SOCIETY,27,1,10.1177/0961463X15577286,9,3
2018,"Clark, Timothy P.; Longo, Stefano B.; Clark, Brett; Jorgenson, Andrew K.","Socio-structural drivers, fisheries footprints, and seafood consumption: A comparative international study, 1961-2012",JOURNAL OF RURAL STUDIES,57,NA,10.1016/j.jrurstud.2017.12.008,9,3
2018,"Gallen, Maria L.; Peraita, Carlos",The effects of national culture on corporate social responsibility disclosure: a cross-country comparison,APPLIED ECONOMICS,50,27,10.1080/00036846.2017.1412082,9,3
2019,"Landman, Todd; Silverman, Bernard W.",Globalization and Modern Slavery,POLITICS AND GOVERNANCE,7,4,10.17645/pag.v7i4.2233,6,3
2004,"Wood, AM","Domesticating urban theory? US concepts, British cities and the limits of cross-national applications",URBAN STUDIES,41,11,10.1080/0042098042000268366,50,2.9411764705882355
2006,"Frazer, Garth",Inequality and development across and within countries,WORLD DEVELOPMENT,34,9,10.1016/j.worlddev.2005.12.006,44,2.933333333333333
2009,"Castro, Rui; Clementi, Gian Luca; MacDonald, Glenn","Legal Institutions, Sectoral Heterogeneity, and Economic Development",REVIEW OF ECONOMIC STUDIES,76,2,10.1111/j.1467-937X.2008.00528.x,35,2.9166666666666665
2011,"Lin, Winston T.; Chiang, Chung-Yean",The impacts of country characteristics upon the value of information technology as measured by productive efficiency,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,132,1,10.1016/j.ijpe.2011.02.013,29,2.9
2013,"Halkos, George E.",Exploring the economy - environment relationship in the case of sulphur emissions,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,56,2,10.1080/09640568.2012.657756,23,2.875
2000,"Barber, N",The sex ratio as a predictor of cross-national variation in violent crime,CROSS-CULTURAL RESEARCH,34,3,10.1177/106939710003400304,60,2.857142857142857
2008,"Hoven, Christina W.; Doan, Thao; Musa, George J.; Jaliashvili, Tea; Duarte, Cristiane S.; Ovuga, Emilio; Ismayilov, Fuad; Rohde, Luis A.; Dmitrieva, Tatjana; Du, Yasong; Yeghiyan, Maruke; El Din, Amira Seif; Apter, Alan; Mandell, Donald J.",Worldwide child and adolescent mental health begins with awareness: A preliminary assessment in nine countries,INTERNATIONAL REVIEW OF PSYCHIATRY,20,3,10.1080/09540260801995950,37,2.8461538461538463
2010,"Schwindt-Bayer, Leslie A.; Malecki, Michael; Crisp, Brian F.",Candidate Gender and Electoral Success in Single Transferable Vote Systems,BRITISH JOURNAL OF POLITICAL SCIENCE,40,NA,10.1017/S000712340999010X,31,2.8181818181818183
2000,"Frey, RS; Field, C",The determinants of infant mortality in the less developed countries: A cross-national test of five theories,SOCIAL INDICATORS RESEARCH,52,3,10.1023/A:1007093631977,59,2.8095238095238093
2012,"Shultz, Clifford J., II","Vietnam: Political Economy, Marketing System",JOURNAL OF MACROMARKETING,32,1,10.1177/0276146711428323,25,2.7777777777777777
2017,"Choy Peng Ng; Law, Teik Hua; Wong, Shaw Voon; Kulanthayan, S.",Relative improvements in road mobility as compared to improvements in road accessibility and economic growth: A cross-country analysis,TRANSPORT POLICY,60,NA,10.1016/j.tranpol.2017.08.004,11,2.75
2010,"Chen, Ying-Yeh; Yip, Paul S. F.; Lee, Carmen; Fan, Hsiang-Fang; Fu, King-Wa",Economic fluctuations and suicide: A comparison of Taiwan and Hong Kong,SOCIAL SCIENCE & MEDICINE,71,12,10.1016/j.socscimed.2010.09.043,30,2.727272727272727
2010,"Tan, Chih Ming","NO ONE TRUE PATH: UNCOVERING THE INTERPLAY BETWEEN GEOGRAPHY, INSTITUTIONS, AND FRACTIONALIZATION IN ECONOMIC DEVELOPMENT",JOURNAL OF APPLIED ECONOMETRICS,25,7,10.1002/jae.1102,30,2.727272727272727
2003,"Barbier, EB; Cox, M",Does economic development lead to mangrove loss? A cross-country analysis,CONTEMPORARY ECONOMIC POLICY,21,4,10.1093/cep/byg022,49,2.7222222222222223
2008,"Viterna, Jocelyn; Fallon, Kathleen M.; Beckfield, Jason","How Development Matters A Research Note on the Relationship between Development, Democracy and Women's Political Representation",INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,49,6,10.1177/0020715208097789,35,2.6923076923076925
2015,"Salahodjaev, Raufhon; Azam, Sardor",Intelligence and gender (in)equality: Empirical evidence from developing countries,INTELLIGENCE,52,NA,10.1016/j.intell.2015.08.002,16,2.6666666666666665
2015,"Dilli, Selin; Rijpma, Auke; Carmichael, Sarah G. aEuro",Achieving Gender Equality: Development versus Historical Legacies,CESIFO ECONOMIC STUDIES,61,1,10.1093/cesifo/ifu027,16,2.6666666666666665
2018,"Macmillan, Ross; Shofia, Naila; Sigle, Wendy","Gender and the Politics of Death: Female Representation, Political and Developmental Context, and Population Health in a Cross-National Panel",DEMOGRAPHY,55,5,10.1007/s13524-018-0697-0,8,2.6666666666666665
2018,"Gallardo-Albarran, Daniel",Health and economic development since 1900,ECONOMICS & HUMAN BIOLOGY,31,NA,10.1016/j.ehb.2018.08.009,8,2.6666666666666665
1990,"SIMPSON, M",POLITICAL RIGHTS AND INCOME INEQUALITY - A CROSS-NATIONAL TEST,AMERICAN SOCIOLOGICAL REVIEW,55,5,10.2307/2095864,82,2.6451612903225805
2013,"Ireland, Patrick R.","A Macro-Level Analysis of the Scope, Causes, and Consequences of Homophobia in Africa",AFRICAN STUDIES REVIEW,56,2,10.1017/asr.2013.41,21,2.625
2003,"Vengroff, R; Nyiri, Z; Fugiero, M",Electoral system and gender representation in sub-national legislatures: Is there a national - Sub-national gender gap?,POLITICAL RESEARCH QUARTERLY,56,2,10.1177/106591290305600205,47,2.611111111111111
2016,"Hoogendoorn, Brigitte; Rietveld, Cornelius A.; van Stel, Andre","Belonging, believing, bonding, and behaving: the relationship between religion and business ownership at the country level",JOURNAL OF EVOLUTIONARY ECONOMICS,26,3,10.1007/s00191-016-0447-7,13,2.6
2016,"Noutcheva, Gergana",Societal Empowerment and Europeanization: Revisiting the EU's Impact on Democratization,JCMS-JOURNAL OF COMMON MARKET STUDIES,54,3,10.1111/jcms.12322,13,2.6
1991,"CLARK, R; RAMSBEY, TW; ADLER, ES","CULTURE, GENDER, AND LABOR-FORCE PARTICIPATION - A CROSS-NATIONAL-STUDY",GENDER & SOCIETY,5,1,NA,77,2.566666666666667
2000,"Schofer, E; Ramirez, FO; Meyer, JW","The effects of science on national economic development, 1970 to 1990",AMERICAN SOCIOLOGICAL REVIEW,65,6,10.2307/2657517,53,2.5238095238095237
1995,"BAILY, MN; GERSBACH, H",EFFICIENCY IN MANUFACTURING AND THE NEED FOR GLOBAL COMPETITION,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,NA,NA,NA,65,2.5
2005,"Charles, M","National skill regimes, postindustrialism, and sex segregation",SOCIAL POLITICS,12,2,10.1093/sp/jxi015,40,2.5
2015,"Crompton, Paul",Explaining variation in steel consumption in the OECD,RESOURCES POLICY,45,NA,10.1016/j.resourpol.2015.06.005,15,2.5
2015,"DiRienzo, Cassandra; Das, Jayoti",Innovation and role of corruption and diversity: A cross-country study,INTERNATIONAL JOURNAL OF CROSS CULTURAL MANAGEMENT,15,1,10.1177/1470595814554790,15,2.5
2017,"Choudhury, Samira; Headey, Derek",What drives diversification of national food supplies? A cross-country analysis,GLOBAL FOOD SECURITY-AGRICULTURE POLICY ECONOMICS AND ENVIRONMENT,15,NA,10.1016/j.gfs.2017.05.005,10,2.5
2017,"Saha, Shrabani; Zhang, Zhaoyong",Democracy-growth nexus and its interaction effect on human development: A cross-national analysis,ECONOMIC MODELLING,63,NA,10.1016/j.econmod.2017.02.021,10,2.5
2017,"Souto-Otero, Manuel; Enders, Juergen",International students' and employers' use of rankings: a cross-national analysis,STUDIES IN HIGHER EDUCATION,42,4,10.1080/03075079.2015.1074672,10,2.5
2019,"Bhandari, Aarushi",Gender inequality in mobile technology access: the role of economic and social development,INFORMATION COMMUNICATION & SOCIETY,22,5,10.1080/1369118X.2018.1563206,5,2.5
2019,"Celikkol, Mutlu; Kitapci, Hakan; Doven, Gozde",CULTURE'S IMPACT ON ENTREPRENEURSHIP & INTERACTION EFFECT OF ECONOMIC DEVELOPMENT LEVEL: AN 81 COUNTRY STUDY,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,20,4,10.3846/jbem.2019.10180,5,2.5
1994,"FRENK, J",DIMENSIONS OF HEALTH SYSTEM REFORM,HEALTH POLICY,27,1,10.1016/0168-8510(94)90155-4,67,2.4814814814814814
2008,"Sanderson, Matthew R.; Kentor, Jeffrey","Foreign direct investment and international migration: A cross-national analysis of less-developed countries, 1985-2000",INTERNATIONAL SOCIOLOGY,23,4,10.1177/0268580908090726,32,2.4615384615384617
1997,"Auvinen, J",Political conflict in less developed countries 1981-89,JOURNAL OF PEACE RESEARCH,34,2,10.1177/0022343397034002005,59,2.4583333333333335
2010,"Gaygisiz, Esma",Cultural values and governance quality as correlates of road traffic fatalities: A nation level analysis,ACCIDENT ANALYSIS AND PREVENTION,42,6,10.1016/j.aap.2010.05.010,27,2.4545454545454546
2012,"Gauthier, Anne H.; DeGusti, Berenice",The time allocation to children by parents in Europe,INTERNATIONAL SOCIOLOGY,27,6,10.1177/0268580912443576,22,2.4444444444444446
2000,"Dekimpe, MG; Parker, PM; Sarvary, M",Globalization: Modeling technology adoption timing across countries,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,63,1,10.1016/S0040-1625(99)00086-4,51,2.4285714285714284
2014,"Gugler, Klaus; Ivanova, Natalia; Zechner, Josef",Ownership and control in Central and Eastern Europe,JOURNAL OF CORPORATE FINANCE,26,NA,10.1016/j.jcorpfin.2014.03.001,17,2.4285714285714284
2014,"Nandi, Arijit; Sweet, Elizabeth; Kawachi, Ichiro; Heymann, Jody; Galea, Sandro",Associations Between Macrolevel Economic Factors and Weight Distributions in Low- and Middle-Income Countries: A Multilevel Analysis of 200 000 Adults in 40 Countries,AMERICAN JOURNAL OF PUBLIC HEALTH,104,2,10.2105/AJPH.2013.301392,17,2.4285714285714284
2011,Song Li; He Xueqiu; Li Chengwu,Longitudinal relationship between economic development and occupational accidents in China,ACCIDENT ANALYSIS AND PREVENTION,43,1,10.1016/j.aap.2010.07.014,24,2.4
2016,"Llanos, Mariana; Weber, Cordula Tibi; Heyl, Charlotte; Stroh, Alexander",Informal interference in the judiciary in new democracies: a comparison of six African and Latin American cases,DEMOCRATIZATION,23,7,10.1080/13510347.2015.1081170,12,2.4
2016,"Burroway, Rebekah",Democracy and child health in developing countries,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,57,5,10.1177/0020715216676514,12,2.4
2016,"Dave, Dhaval; Doytch, Nadia; Kelly, Inas Rashad",Nutrient intake: A cross-national analysis of trends and economic correlates,SOCIAL SCIENCE & MEDICINE,158,NA,10.1016/j.socscimed.2016.04.021,12,2.4
2016,"Kim, Harris Hyun-soo; Chun, JongSerl",Examining the Effects of Parental Influence on Adolescent Smoking Behaviors: A Multilevel Analysis of the Global School-Based Student Health Survey (2003-2011),NICOTINE & TOBACCO RESEARCH,18,5,10.1093/ntr/ntv172,12,2.4
2013,"Fischer, Justina A. V.; Torgler, Benno",DO POSITIONAL CONCERNS DESTROY SOCIAL CAPITAL: EVIDENCE FROM 26 COUNTRIES,ECONOMIC INQUIRY,51,2,10.1111/j.1465-7295.2011.00441.x,19,2.375
2007,"Bertinelli, Luisito; Strobl, Eric","Urbanisation, urban concentration and economic development",URBAN STUDIES,44,13,10.1080/00420980701558442,33,2.357142857142857
2004,"Chang, ML",Growing pains: Cross-national variation in sex segregation in sixteen developing countries,AMERICAN SOCIOLOGICAL REVIEW,69,1,10.1177/000312240406900107,40,2.3529411764705883
2001,"Mousseau, DY",Democratizing with ethnic divisions: A source of conflict?,JOURNAL OF PEACE RESEARCH,38,5,10.1177/0022343301038005001,47,2.35
1995,"DESAI, S",WHEN ARE CHILDREN FROM LARGE FAMILIES DISADVANTAGED - EVIDENCE FROM CROSS-NATIONAL ANALYSES,POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,49,2,10.1080/0032472031000148466,61,2.3461538461538463
2006,"Jorgenson, Andrew K.","The transnational organization of production and environmental degradation: A cross-national study of the effects of foreign capital penetration on water pollution intensity, 1980-1995",SOCIAL SCIENCE QUARTERLY,87,3,10.1111/j.1540-6237.2006.00405.x,35,2.3333333333333335
2012,"Isaacs, B.; Wang, M.; Samuel, P.; Ajuwon, P.; Baum, N.; Edwards, M.; Rillotta, F.",Testing the factor structure of the Family Quality of Life Survey-2006,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,56,1,10.1111/j.1365-2788.2011.01392.x,21,2.3333333333333335
2018,"Curran, Michaela; Mahutga, Matthew C.",Income Inequality and Population Health: A Global Gradient?,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,59,4,10.1177/0022146518808028,7,2.3333333333333335
2018,"Jesus Rodriguez-Gulias, Maria; Rodeiro-Pazos, David; Fernandez-Lopez, Sara; Corsi, Christian; Prencipe, Antonio",The role of venture capitalist to enhance the growth of Spanish and Italian university spin-offs,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,14,4,10.1007/s11365-017-0489-9,7,2.3333333333333335
2018,"Bin, Peng; Chen, Xiaolan; Fracasso, Andrea; Tomasi, Chiara",Resource allocation and productivity across provinces in China,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,57,NA,10.1016/j.iref.2018.02.015,7,2.3333333333333335
2018,"Chen, Wen",CROSS-COUNTRY INCOME DIFFERENCES REVISITED: ACCOUNTING FOR THE ROLE OF INTANGIBLE CAPITAL,REVIEW OF INCOME AND WEALTH,64,3,10.1111/roiw.12305,7,2.3333333333333335
2018,"Carbonara, Emanuela; Santarelli, Enrico; Obschonka, Martin; Hien Thu Tran; Potter, Jeff; Gosling, Samuel D.","Agency culture, constitutional provisions and entrepreneurship: a cross-country analysis",INDUSTRIAL AND CORPORATE CHANGE,27,3,10.1093/icc/dtx047,7,2.3333333333333335
2018,"Wotipka, Christine Min; Nakagawa, Mana; Svec, Joseph","Global linkages, the higher education pipeline, and national contexts: The worldwide growth of women faculty, 1970-2012",INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,59,3,10.1177/0020715218780475,7,2.3333333333333335
2018,"Korneliussen, Tor; Greenacre, Michael",Information Sources Used by European Tourists: A Cross-National Study,JOURNAL OF TRAVEL RESEARCH,57,2,10.1177/0047287516686426,7,2.3333333333333335
2004,"Reilly, B",State functioning and state failure in the South Pacific,AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS,58,4,10.1080/1035771042000304742,39,2.2941176470588234
2007,"Zahran, Sammy; Kim, Eunyi; Chen, Xi; Lubell, Mark",Ecological development and global climate change: A cross-national study of Kyoto Protocol ratification,SOCIETY & NATURAL RESOURCES,20,1,10.1080/08941920600981355,32,2.2857142857142856
2017,"Wang, Yan",Promoting Sustainable Consumption Behaviors: The Impacts of Environmental Attitudes and Governance in a Cross-National Context,ENVIRONMENT AND BEHAVIOR,49,10,10.1177/0013916516680264,9,2.25
2017,"Gur, Nurullah; Bjornskov, Christian",Trust and delegation: Theory and evidence,JOURNAL OF COMPARATIVE ECONOMICS,45,3,10.1016/j.jce.2016.02.002,9,2.25
2017,"Chen, Xiafei; Liu, Zhiying; Ma, Chaoliang","Chinese innovation-driving factors: regional structure, innovation effect, and economic development-empirical research based on panel data",ANNALS OF REGIONAL SCIENCE,59,1,10.1007/s00168-017-0818-5,9,2.25
2017,"VanHeuvelen, Tom",Unequal views of inequality: Cross-national support for redistribution 1985-2011,SOCIAL SCIENCE RESEARCH,64,NA,10.1016/j.ssresearch.2016.10.010,9,2.25
2017,"Li, Shaomin; Park, Seung Ho; Selover, David Duden",The cultural dividend: a hidden source of economic growth in emerging countries,CROSS CULTURAL & STRATEGIC MANAGEMENT,24,4,10.1108/CCSM-08-2016-0149,9,2.25
2012,"Das, Jayoti; Dirienzo, Cassandra E.",Tourism Competitiveness and the Role of Fractionalization,INTERNATIONAL JOURNAL OF TOURISM RESEARCH,14,3,10.1002/jtr.866,20,2.2222222222222223
2016,"Doytch, Nadia; Dave, Dhaval M.; Kelly, Inas Rashad","Global Evidence on Obesity and Related Outcomes: An Overview of Prevalence, Trends, and Determinants",EASTERN ECONOMIC JOURNAL,42,1,10.1057/eej.2014.37,11,2.2
2016,"Mehta, Ritu; Dixit, Gagan",Consumer decision making styles in developed and developing markets: A cross-country comparison,JOURNAL OF RETAILING AND CONSUMER SERVICES,33,NA,10.1016/j.jretconser.2016.09.002,11,2.2
2016,"Lazzeretti, Luciana; Capone, Francesco; Secilmis, I. Erdem","In search of a Mediterranean creativity. Cultural and creative industries in Italy, Spain and Turkey",EUROPEAN PLANNING STUDIES,24,3,10.1080/09654313.2015.1082979,11,2.2
